Юзернейм канала,Дата последнего поста,Количество постов за неделю,Юзернейм из описания
@AGI_and_RL,2025-03-31,100,@tokarev_i_v
@AIConcentrate,2025-04-01,100,@igor_babko
@AIDigitalFrontiers,2025-03-19,25,-
@AIDigitalInnovation,2025-03-19,100,-
@AIDigitalInnovations,2025-03-19,100,-
@AIExplored,2025-03-19,100,-
@AIFrontiersTech,2025-03-19,100,-
@AIFutureTechMinds,2025-03-19,100,-
@AIInnovateNetwork,2025-03-19,100,-
@AIInnovateSphere,2025-03-19,100,-
@AIInnovativeTech,2025-03-19,100,-
@AIJourn,2025-04-01,100,@oleginc
@AIMindInnovations,2025-03-19,38,-
@AIMindMakers,2025-03-19,69,-
@AIMindsetRevolution,2025-03-19,100,-
@AINewspoint,2025-04-01,63,@Uflashback
@AIQuantumLeap,2025-03-19,100,-
@AIQuantumTech_GPT,2025-03-19,100,-
@AIRevolutionMindset,2025-03-19,100,-
@AISmartNeuro,2025-03-19,68,-
@AISmartNeuro_DE,2025-03-19,100,-
@AISmartSolution,2025-03-19,100,-
@AISolutionsTech,2025-03-19,100,-
@AITechEvolutionary,2025-03-19,100,-
@AITechPioneering,2025-03-19,100,-
@AITechnologyVanguard,2025-03-19,100,-
@AI_Simplicity,2025-03-31,100,@KobelevS
@AIexTime,2025-03-13,100,@alex_golubev13
@AiMedium,2025-04-01,100,@AndrewAdvert
@AiVenturaa,2025-04-01,100,@neiromanager
@Ai_AG_neuro,2025-04-01,100,@AiArtG_bot
@Ai_Battle_Ai,2025-03-27,100,@haha777ga
@Ai_news_gpt4,2025-03-25,100,@jervont
@AxionAI,2025-03-15,100,@c_argans
@BrainNeuroassistant,2025-04-01,100,@PavelTomnik
@BrainyBitsTech,2025-03-19,100,-
@CDTOonline,2025-03-19,100,@VarvaraSe
@CodeEvolutionAI,2025-03-19,100,-
@CodeMindsetAI,2025-03-19,100,-
@CognitiveAITechs,2025-03-19,100,-
@CyberAIFrontiers,2025-03-19,100,-
@CyberAITech,2025-03-19,100,-
@CyberBrainAI,2025-03-19,100,-
@CyberBrainTech,2025-03-19,100,-
@CyberBrainTechAI,2025-03-19,100,-
@CyberMindFlowAI,2025-03-19,22,-
@CynExp,2025-04-01,100,@CynicAdmin
@DataSciencegx,2025-03-26,89,@devmangx
@DigitalAITechSolutions,2025-03-19,21,-
@DigitalAITechSolutionsru,2025-03-19,100,-
@DigitalAITransformers,2025-03-19,58,-
@DigitalBrainHub,2025-03-19,100,-
@DigitalInnovationAIAI,2025-03-19,100,-
@DigitalInnovationAIs,2025-03-19,100,-
@DigitalMindInnovations,2025-03-19,59,-
@EpicAii,2025-04-01,100,@Afftrio
@FutureTechMind,2025-03-19,63,-
@GolosaNejroseti,2025-04-01,100,@GolosaNejroseti_bot
@Haier_watch_TV,2025-03-30,100,-
@HighLoadChannel,2025-04-01,100,-
@HyperAIHorizon,2025-03-19,26,-
@INTechInnovationss,2025-03-19,100,-
@ITConnect,2025-04-01,100,@boltaevap
@ITMeeting,2025-04-01,100,@lexalevin
@InfiniteMindsetAI,2025-03-19,100,-
@InfiniteMindsetAIGPT,2025-03-19,100,-
@InnovativeAITechNet,2025-03-19,100,-
@InsightfulAI,2025-03-19,100,-
@IntelliAITech,2025-03-19,100,-
@KUPI_PRODAI_NEFTEKAMSK,2025-03-28,100,-
@KonturTech,2025-04-01,100,@KonturTech
@KotlinSenior,2025-03-31,100,@NadikaKir
@Kubernetes_Likhachev,2025-04-01,100,-
@KudaidtivIT,2025-04-01,100,-
@LLM4dev,2025-03-29,100,-
@MIRAI_NEWS,2025-03-29,43,-
@MindDataAI,2025-03-19,100,-
@MindTechAIRev,2025-03-19,100,-
@MindTechAIRevolution,2025-03-19,100,-
@MindTechRevolutionAI,2025-03-19,100,-
@MindTechRevolutionAIW,2025-03-19,100,-
@MindfulAICraft,2025-03-19,100,-
@MindfulAITech,2025-03-19,100,-
@MindfulCodeAI,2025-03-19,95,-
@MobailProApple,2025-03-04,100,-
@NeuralAITechnology,2025-03-19,100,-
@NeuralAITechs,2025-03-19,8,-
@NeuroAIPioneers,2025-03-19,100,-
@NeuroAITechRevolution,2025-03-19,98,-
@NeuroAITransform_LF,2025-03-19,15,-
@NeuroTechHorizonsDATA,2025-03-19,27,-
@NextAITransformations,2025-03-19,19,-
@NextGenAIHubSD,2025-03-19,100,-
@NishA_Ai,2025-04-01,100,@NishAIBot
@PhotoJam_AI,2025-03-08,100,@photojamai
@ProNoCode,2025-04-01,100,@grimalschi
@Pulse_NewsAI,2025-04-01,100,@DeepSeekGPT_robot
@QuantumAITechHub_Dc,2025-03-19,100,-
@QuantumTechAI,2025-03-19,100,-
@SAlab_daily,2025-03-19,100,@SAlab_hellobot
@SmartAITechnoHub,2025-03-19,9,-
@SmartAITechnologies,2025-03-19,100,-
@SmartTechAIInsights,2025-03-19,100,-
@SprutAI_News,2025-04-01,100,-
@T1Holding,2025-04-01,100,-
@TechAIExplorersHT,2025-03-19,100,-
@TechAIExplorers_no,2025-03-19,100,-
@TechAIInsightfulMind,2025-03-19,100,-
@TechAIQuantumVision,2025-03-19,100,-
@TechAIRevolutionaryWave,2025-03-19,100,-
@TechInnovateAI,2025-03-19,28,-
@TechMindAIInnovate,2025-03-19,100,-
@TechMindsetAI,2025-03-19,100,-
@TechMindsetAIs,2025-03-19,100,-
@TechRevolutionAI,2025-03-19,24,-
@TechnoMaster_Rus,2025-03-17,100,-
@TechnologyAIFrontierss,2025-03-19,100,-
@Tehnobzor_it,2025-04-01,100,@Wiiioiiiw
@TochkiNadAI,2025-04-01,100,@hello_voic
@VR_Journal,2025-04-01,100,-
@Vakilova_ai,2025-04-01,100,@Vakilovabot
@VirtualAIFrontier,2025-03-19,27,-
@VirtualAIInsights,2025-03-19,100,-
@VirtualAIInsightss,2025-03-19,100,-
@VirtualAIRevolutionGPT,2025-03-19,100,-
@VisionaryAITech,2025-03-19,100,-
@VisionaryAITechnologyy,2025-03-19,100,-
@aatown,2025-04-01,100,-
@aero_mai,2025-03-31,100,@oleg_barovik
@againstthedigital,2025-03-30,100,@AgainstTheDigital_bot
@agilixru,2025-04-01,100,@Maria_Tovpinets
@ai_berloga,2025-03-28,100,@dearouz
@ai_digitalkir,2025-04-01,100,@digital_kir
@ai_flame,2025-03-22,47,@bodya_qq
@ai_in_industrial,2025-04-01,100,@nataliyacrimea
@ai_mind_set,2025-03-27,100,@alex_named
@ai_neuralnetwork,2025-03-31,100,@sssoffia
@ai_news360,2025-03-30,100,@karavan_360
@ai_product,2025-04-01,100,-
@ai_tablet,2025-03-28,80,@insafq
@ai_useful_ai,2025-03-24,100,@Young1AD
@aibotlist,2025-04-01,100,@botlistadmin
@aibroio,2025-03-30,100,@dmitryverse
@aicreativs,2025-03-28,100,-
@aidivision,2025-04-01,100,@alexandr_chibisov
@aifilmmaker,2025-03-31,85,@alekseevdir
@aiforbusinessandfun,2025-04-01,100,@beshitroff
@aiforproduct,2025-03-31,100,@lshashkov
@aiknowledgeclub,2025-03-30,100,@bayesianarseny
@aimastersme,2025-03-31,100,@shimaoz
@ainovasapiens,2025-03-26,81,-
@aiprus,2025-04-01,100,@bloha_rus
@airi_research_institute,2025-04-01,100,@saalaatik
@aitichnaya,2025-03-10,100,@bateman24
@aitoolz_business,2025-04-01,100,@i_am_sketchman
@aiwaac,2025-04-01,100,-
@aiwizards,2025-04-01,100,@codegeek
@analytics_secrets,2025-04-01,100,@max_excel
@anastasiaonileproai,2025-03-28,100,-
@andrey_kiselnikov,2025-04-01,100,-
@art_design_ai,2025-04-01,100,@lena_starkova
@axoftonair,2025-04-01,100,-
@baikal_teleport,2025-04-01,100,-
@basistech,2025-04-01,100,-
@bdufstecru,2025-03-31,100,-
@belyakAi,2025-04-01,100,@s_belyak
@best_in_development,2025-04-01,100,@best_in_development_bot
@big_llm_course,2025-03-31,100,@llm_course_bot
@blockchainRF,2025-04-01,100,@AniAslanyan
@brainfuckpc,2025-04-01,100,-
@brainy_qa,2025-03-22,69,@BrainySupport_bot
@chinainspect,2025-04-01,100,-
@chiprussia,2025-04-01,100,-
@cifrabunak,2025-03-31,100,@Anastasia_Bu
@cnctechnologi,2025-04-01,100,-
@conpoint,2025-03-30,100,@karamyga
@conversations_ai,2025-03-31,100,-
@cpprussia_channel,2025-04-01,100,@cpprussia
@craftdivision,2025-03-03,100,-
@crzyatom,2025-04-01,100,-
@ctorecords,2025-04-01,100,@ctorecordschat
@dAIpotestit,2025-03-30,100,@neuralchatik
@daichiru,2025-04-01,100,-
@daily_geek_news,2025-03-31,100,-
@dailycoding,2025-04-01,100,@Portal_v_IT
@data1sm,2025-03-27,100,@DataismPrepBot
@data_science_winners,2025-03-31,100,@dfeeler
@datainthecity,2025-03-30,100,@intra23
@datarascals,2025-04-01,100,@NikitaZelinskiy
@datascienceml_jobs,2025-03-31,100,@haarrp
@datasets1,2025-03-16,100,@Hussein_sheikho
@dealerAI,2025-03-31,100,@dealer_ai
@deep_fake_bot_news,2025-04-01,100,@DeepFake_Free_roBot
@deeplearning_ru,2025-03-31,100,@miralinka
@def_model_train,2025-03-31,100,-
@dendi_math_ai,2025-03-05,58,-
@devbrain,2025-03-28,100,@adilkhash
@devsoulart,2025-04-01,100,-
@devsp,2025-04-01,100,@g_abashkin
@di72to,2025-04-01,100,-
@dimatverdai,2025-03-26,61,@dimatverd
@divisionGPT,2025-03-04,100,-
@domainrupor,2025-04-01,100,@riracat
@ds_private_sharing,2025-03-19,80,@llm_is_all_you_need
@dsproglib,2025-04-01,100,@proglib_adv
@easy_ds,2025-04-01,100,@easyoffer_adv
@eboutdatascience,2025-03-26,100,@ditengm
@edward_club,2025-04-01,100,-
@electrondetail,2025-04-01,100,@Dj_teago
@failoverbar,2025-04-01,100,@failoverbar_chat
@fokina_ai,2025-04-01,100,@diana_ai_manager
@forgetmeai,2025-04-01,100,@forgetgpt_bot
@fpvtechno,2025-03-09,65,@fpvtechnobot
@futurepedia,2025-04-01,100,-
@futuresailors,2025-04-01,100,@hello_voic
@gamedevstairs,2025-03-08,100,-
@garda_ai,2025-04-01,100,-
@gazprom_vniigaz,2025-03-27,100,-
@generated_roman,2025-04-01,100,@ElenaOr93
@girafe_ai,2025-03-31,100,@white_pepper
@hightech_fm_daily,2025-04-01,100,@hightech_fm
@hintsai,2025-04-01,79,-
@ict_moscow_ai,2025-04-01,100,-
@iitebe,2025-04-01,100,@iitebe_bot
@ikstrade,2025-03-12,100,@iksteam
@immers_cloud,2025-04-01,100,@immerscloudsupport
@infosec_work,2025-04-01,100,-
@intechno_future,2025-03-27,100,@INTECHNO_FUTURE_BOT
@iskustvennyy_intelekt,2025-03-28,100,@AnnaGermanchyk
@iteventsrus,2025-04-01,100,@romanroman_pr
@itlecture,2025-03-24,100,@viktoryia_agny
@jasminer_use,2025-04-01,100,-
@java_ready,2025-04-01,100,@energy_it
